datetime,energy,date,year,month,day,hour,minute,runningdate
2019-06-25T00:00:00Z,0.12,2019-06-25,2019,6,25,0,0,625
2019-06-25T00:30:00Z,0.14,2019-06-25,2019,6,25,0,30,625
2019-06-25T01:00:00Z,0.15,2019-06-25,2019,6,25,1,0,625
2019-06-25T01:30:00Z,0.1,2019-06-25,2019,6,25,1,30,625
2019-06-25T02:00:00Z,0.14,2019-06-25,2019,6,25,2,0,625
2019-06-25T02:30:00Z,0.15,2019-06-25,2019,6,25,2,30,625
2019-06-25T03:00:00Z,0.14,2019-06-25,2019,6,25,3,0,625
2019-06-25T03:30:00Z,0.12,2019-06-25,2019,6,25,3,30,625
2019-06-25T04:00:00Z,0.12,2019-06-25,2019,6,25,4,0,625
2019-06-25T04:30:00Z,0.14,2019-06-25,2019,6,25,4,30,625
2019-06-25T05:00:00Z,0.12,2019-06-25,2019,6,25,5,0,625
2019-06-25T05:30:00Z,0.12,2019-06-25,2019,6,25,5,30,625
2019-06-25T06:00:00Z,1.09,2019-06-25,2019,6,25,6,0,625
2019-06-25T06:30:00Z,1.04,2019-06-25,2019,6,25,6,30,625
2019-06-25T07:00:00Z,0.34,2019-06-25,2019,6,25,7,0,625
2019-06-25T07:30:00Z,0.14,2019-06-25,2019,6,25,7,30,625
2019-06-25T08:00:00Z,0.14,2019-06-25,2019,6,25,8,0,625
2019-06-25T08:30:00Z,0.11,2019-06-25,2019,6,25,8,30,625
2019-06-25T09:00:00Z,0.18,2019-06-25,2019,6,25,9,0,625
2019-06-25T09:30:00Z,0.21,2019-06-25,2019,6,25,9,30,625
2019-06-25T10:00:00Z,0.14,2019-06-25,2019,6,25,10,0,625
2019-06-25T10:30:00Z,0.7,2019-06-25,2019,6,25,10,30,625
2019-06-25T11:00:00Z,1.35,2019-06-25,2019,6,25,11,0,625
2019-06-25T11:30:00Z,0.5,2019-06-25,2019,6,25,11,30,625
2019-06-25T12:00:00Z,0.19,2019-06-25,2019,6,25,12,0,625
2019-06-25T12:30:00Z,1.02,2019-06-25,2019,6,25,12,30,625
2019-06-25T13:00:00Z,2.79,2019-06-25,2019,6,25,13,0,625
2019-06-25T13:30:00Z,2.85,2019-06-25,2019,6,25,13,30,625
2019-06-25T14:00:00Z,2.67,2019-06-25,2019,6,25,14,0,625
2019-06-25T14:30:00Z,2.12,2019-06-25,2019,6,25,14,30,625
2019-06-25T15:00:00Z,1.33,2019-06-25,2019,6,25,15,0,625
2019-06-25T15:30:00Z,1.56,2019-06-25,2019,6,25,15,30,625
2019-06-25T16:00:00Z,2.42,2019-06-25,2019,6,25,16,0,625
2019-06-25T16:30:00Z,2.39,2019-06-25,2019,6,25,16,30,625
2019-06-25T17:00:00Z,1.97,2019-06-25,2019,6,25,17,0,625
2019-06-25T17:30:00Z,0.76,2019-06-25,2019,6,25,17,30,625
2019-06-25T18:00:00Z,0.2,2019-06-25,2019,6,25,18,0,625
2019-06-25T18:30:00Z,0.91,2019-06-25,2019,6,25,18,30,625
2019-06-25T19:00:00Z,1.73,2019-06-25,2019,6,25,19,0,625
2019-06-25T19:30:00Z,1.85,2019-06-25,2019,6,25,19,30,625
2019-06-25T20:00:00Z,1.31,2019-06-25,2019,6,25,20,0,625
2019-06-25T20:30:00Z,1.34,2019-06-25,2019,6,25,20,30,625
2019-06-25T21:00:00Z,1.31,2019-06-25,2019,6,25,21,0,625
2019-06-25T21:30:00Z,0.27,2019-06-25,2019,6,25,21,30,625
2019-06-25T22:00:00Z,0.19,2019-06-25,2019,6,25,22,0,625
2019-06-25T22:30:00Z,0.24,2019-06-25,2019,6,25,22,30,625
2019-06-25T23:00:00Z,0.22,2019-06-25,2019,6,25,23,0,625
2019-06-25T23:30:00Z,0.13,2019-06-25,2019,6,25,23,30,625
2019-06-26T00:00:00Z,0.13,2019-06-26,2019,6,26,0,0,626
2019-06-26T00:30:00Z,0.15,2019-06-26,2019,6,26,0,30,626
2019-06-26T01:00:00Z,0.15,2019-06-26,2019,6,26,1,0,626
2019-06-26T01:30:00Z,0.13,2019-06-26,2019,6,26,1,30,626
2019-06-26T02:00:00Z,0.1,2019-06-26,2019,6,26,2,0,626
2019-06-26T02:30:00Z,0.15,2019-06-26,2019,6,26,2,30,626
2019-06-26T03:00:00Z,0.14,2019-06-26,2019,6,26,3,0,626
2019-06-26T03:30:00Z,0.14,2019-06-26,2019,6,26,3,30,626
2019-06-26T04:00:00Z,0.11,2019-06-26,2019,6,26,4,0,626
2019-06-26T04:30:00Z,0.13,2019-06-26,2019,6,26,4,30,626
2019-06-26T05:00:00Z,0.14,2019-06-26,2019,6,26,5,0,626
2019-06-26T05:30:00Z,0.16,2019-06-26,2019,6,26,5,30,626
2019-06-26T06:00:00Z,1.1,2019-06-26,2019,6,26,6,0,626
2019-06-26T06:30:00Z,1.06,2019-06-26,2019,6,26,6,30,626
2019-06-26T07:00:00Z,0.9,2019-06-26,2019,6,26,7,0,626
2019-06-26T07:30:00Z,0.21,2019-06-26,2019,6,26,7,30,626
2019-06-26T08:00:00Z,0.15,2019-06-26,2019,6,26,8,0,626
2019-06-26T08:30:00Z,0.14,2019-06-26,2019,6,26,8,30,626
2019-06-26T09:00:00Z,0.14,2019-06-26,2019,6,26,9,0,626
2019-06-26T09:30:00Z,0.17,2019-06-26,2019,6,26,9,30,626
